site_code,Long,Lat,year,block,plot,trt,Family,Taxon,num_leaves,leaf_pct_N,leaf_pct_C,leaf_C13_delta_PDB,leaf_area_mm2,leaf_dry_mass_g,leaf_ppm_P,leaf_ppm_B,leaf_ppm_Na,leaf_ppm_Ca,leaf_ppm_Fe,leaf_ppm_K,leaf_ppm_Mg,leaf_ppm_Mn,leaf_ppm_Cu,leaf_ppm_Zn,leaf_ppm_Sr,leaf_ppm_Pb,leaf_ppm_Mo,SLA_v2,Ntrt,Ptrt,Ktrt,Nfix,first_nutrient_year,site_name,continent,country,region,habitat,lifespan,lifeform,photosynthetic_pathway,max_cover,live_mass,precip.mean,tmp,par2_gs,aridity
bldr.us,-105.233544,39.972022,2011,1,9,NPK+Fence,Convolvulaceae,CONVOLVULUS ARVENSIS,5,4.978885657,45.2333517,-28.40056116,1183.453,0.07,2590.765308,47.9107936,95.7673076,22592.97884,122.5090572,29209.66208,7581.0508,35.28174,11.49641928,54.912862,91.8048968,0.462824056,NA,5917.265,1,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,HERB,NULL,2,248.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,11,N,Convolvulaceae,CONVOLVULUS ARVENSIS,5,4.259202544,44.78451378,-28.64896605,2071.785,0.1,2385.920875,46.84511,59.698405,25321.439,144.2748775,35234.59875,8012.0365,43.97887,22.71719125,65.92352,102.3561175,0.221013975,0.136818175,10358.925,1,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,HERB,NULL,12,161,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,14,P,Convolvulaceae,CONVOLVULUS ARVENSIS,5,4.514301203,46.27778876,-28.3491548,860.266,0.06,3021.9534,44.611992,104.35689,26980.074,132.493914,26563.572,6869.9691,19.876401,10.1765322,30.77487,132.609609,0.19992096,0.39128049,4301.33,0,1,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,HERB,NULL,3,174,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,15,NPK+Fence,Convolvulaceae,CONVOLVULUS ARVENSIS,5,6.24291664,45.37758324,-28.22788781,3700.581,0.16,3893.4324,31.1716608,128.510496,9226.86,123.42816,49008.24,5412.0828,34.094004,16.9834728,39.962892,38.389788,0.20057076,0.24564624,18502.905,1,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,HERB,NULL,23,317.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,1,P,Poaceae,BUCHLOE DACTYLOIDES,5,1.777253714,44.70139388,-15.46269915,221.921,0.04,4854.5286,31.02025895,122.6371935,4400.81345,198.02543,10991.9759,1839.89316,51.450851,4.63772875,30.083773,28.77179865,0.85244807,0.615309265,1109.605,0,1,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,26,58,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,2,Fence,Poaceae,BUCHLOE DACTYLOIDES,5,1.697672832,45.11463376,-15.6900698,254.404,0.04,3890.26645,29.7804115,430.3971,5679.9785,218.582175,8206.4185,2087.47105,43.03971,5.3190585,86.80126,44.84431,0.8021447,0.264599475,1272.02,0,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,3,99,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,3,N,Poaceae,BUCHLOE DACTYLOIDES,5,2.647895291,47.86193244,-15.56420591,332.279,0.08,1835.02908,20.16330336,286.7316696,3576.24864,188.384832,15706.39392,1467.066024,90.9760896,8.90616096,74.4541272,28.430028,0.335608344,NA,1661.395,1,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,1,125,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,5,PK,Poaceae,BUCHLOE DACTYLOIDES,5,2.378294823,45.0393749,-15.971003,257.719,0.05,4302.12528,58.2084036,224.1320796,6328.88028,141.242304,12965.82732,1896.682368,24.1048728,5.60465316,43.417596,43.7418768,0.290771784,NA,1288.595,0,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,3,58.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,6,K,Poaceae,BUCHLOE DACTYLOIDES,5,1.779347168,45.36430899,-15.19848099,236.404,0.04,1917.445552,36.1460352,485.031888,2839.7864,359.827248,9849.43168,1494.29016,43.2591104,7.57034432,40.8638912,28.4704464,0.72673128,NA,1182.02,0,0,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,18,59,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,1,7,NPK,Poaceae,BUCHLOE DACTYLOIDES,5,2.125903426,43.67946766,-15.05266478,320.732,0.06,3543.24048,40.62147,119.2087268,2732.55824,81.5749004,14190.43352,1295.51914,39.398458,6.50118236,65.8155172,19.6904932,0.34593768,NA,1603.66,1,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,19,147.5,448.5731709,10.59856789,978.2125854,0.2813
