"","site_code","Long","Lat","year","block","plot","trt","Family","Taxon","num_leaves","leaf_pct_N","leaf_pct_C","leaf_C13_delta_PDB","leaf_area_mm2","leaf_dry_mass_g","leaf_ppm_P","leaf_ppm_B","leaf_ppm_Na","leaf_ppm_Ca","leaf_ppm_Fe","leaf_ppm_K","leaf_ppm_Mg","leaf_ppm_Mn","leaf_ppm_Cu","leaf_ppm_Zn","leaf_ppm_Sr","leaf_ppm_Pb","leaf_ppm_Mo","SLA_v2","Ntrt","Ptrt","Ktrt","Nfix","first_nutrient_year","site_name","continent","country","region","habitat","lifespan","lifeform","photosynthetic_pathway","max_cover","live_mass","precip.mean","tmp","par2_gs","aridity","Ntrt_fac","Ptrt_fac","Ktrt_fac","block_fac","trt_fac","sla_m2_g","lma","narea","nmass","spp_live_mass","delta","chi","fence","loglma","lognarea","lognmass","log_spp_live_mass"
"2","bldr.us",-105.233544,39.972022,2011,2,11,"N","Convolvulaceae","CONVOLVULUS ARVENSIS",5,4.259202544,44.78451378,-28.64896605,2071.785,0.1,2385.920875,46.84511,59.698405,25321.439,144.2748775,35234.59875,8012.0365,43.97887,22.71719125,65.92352,102.3561175,0.221013975,0.136818175,10358.925,1,0,0,"no",2009,"Boulder South Campus","North America","US","Central plains (North America)","shortgrass prairie","PERENNIAL","HERB","C3",12,161,448.5731709,10.59856789,978.2125854,0.2813,"1","0","0","2","N",0.010358925,96.5351134408252,4.11162600752491,4.259202544,19.32,21.2579853506008,0.745928555336317,"no",4.56990681201347,1.41381857253912,1.44908194651374,2.96114082878437
"3","bldr.us",-105.233544,39.972022,2011,2,14,"P","Convolvulaceae","CONVOLVULUS ARVENSIS",5,4.514301203,46.27778876,-28.3491548,860.266,0.06,3021.9534,44.611992,104.35689,26980.074,132.493914,26563.572,6869.9691,19.876401,10.1765322,30.77487,132.609609,0.19992096,0.39128049,4301.33,0,1,0,"no",2009,"Boulder South Campus","North America","US","Central plains (North America)","shortgrass prairie","PERENNIAL","HERB","C3",3,174,448.5731709,10.59856789,978.2125854,0.2813,"0","1","0","2","P",0.00430133,232.486231002969,10.4951287229764,4.514301203,5.22,20.9428673895832,0.731985282724919,"no",5.44883100178114,2.35091121836902,1.50725040257597,1.65249740189455
"22","bldr.us",-105.233544,39.972022,2011,1,6,"K","Poaceae","ELYMUS SMITHII",5,2.243823452,49.53363301,-27.79493762,642.931,0.19,2624.113184,14.91567808,511.983424,4773.09624,100.8314104,22880.74528,1802.641328,45.4523984,4.49966856,32.8707624,32.2565408,0.291854328,NA,3214.655,0,0,1,"no",2009,"Boulder South Campus","North America","US","Central plains (North America)","shortgrass prairie","PERENNIAL","GRASS","C3",1,59,448.5731709,10.59856789,978.2125854,0.2813,"0","0","1","1","K",0.003214655,311.075372007261,6.97998215049515,2.243823452,0.59,20.360866638095,0.706233037083849,"no",5.74003523653741,1.94304635953536,0.808181308986041,-0.527632742082372
"23","bldr.us",-105.233544,39.972022,2011,1,8,"NP","Poaceae","ELYMUS SMITHII",5,3.074606261,44.63815139,-15.94878104,1259.284,0.33,2537.22392,15.19120416,7088.5144,4672.70584,72.9027816,22115.45072,2458.66104,34.6033776,6.7671208,23.2831808,29.0504104,0.25979316,NA,6296.42,1,1,0,"no",2009,"Boulder South Campus","North America","US","Central plains (North America)","shortgrass prairie","PERENNIAL","GRASS","C3",0.1,354,448.5731709,10.59856789,978.2125854,0.2813,"1","1","0","1","NP",0.00629642,158.820409057846,4.88310224063833,3.074606261,0.354,8.07760905819589,0.162726064521942,"no",5.06777406107038,1.58578072293903,1.12317684785674,-1.03845836584836
"24","bldr.us",-105.233544,39.972022,2011,2,17,"NPK","Poaceae","ELYMUS SMITHII",5,3.398617094,48.65042226,-28.69204757,1176.972,0.25,1793.413765,14.632202,175.87713,8011.37285,50.243687,18195.77305,1626.257815,73.500167,5.0001432,35.659936,45.0352045,0.10901475,1.031279535,5884.86,1,1,1,"no",2009,"Boulder South Campus","North America","US","Central plains (North America)","shortgrass prairie","PERENNIAL","GRASS","C3",1,135,448.5731709,10.59856789,978.2125854,0.2813,"1","1","1","2","NPK",0.00588486,169.927576866739,5.77518767481299,3.398617094,1.35,21.303282360896,0.747932847827255,"no",5.13537232784768,1.75357075368293,1.22336861182334,0.300104592450338
"25","bldr.us",-105.233544,39.972022,2011,2,18,"NK","Poaceae","ELYMUS SMITHII",5,5.158170579,45.70799953,-29.57325891,1635.121,0.13,5247.50694,36.646389,122.680272,12555.9876,123.480162,49737.1602,6867.627,36.4269906,17.1724956,45.113796,67.76211,0.11746956,0.137124,8175.605,1,0,1,"no",2009,"Boulder South Campus","North America","US","Central plains (North America)","shortgrass prairie","PERENNIAL","GRASS","C3",0.1,117,448.5731709,10.59856789,978.2125854,0.2813,"1","0","1","2","NK",0.008175605,122.315106955387,6.30922186064518,5.158170579,0.117,22.2306929483091,0.788968714526949,"no",4.80660055882093,1.84201235050903,1.64058197767619,-2.14558134418438
"27","bldr.us",-105.233544,39.972022,2011,1,1,"P","Poaceae","POA COMPRESSA",5,1.969838359,45.01158278,-15.59200229,626.696,0.16,5072.8524,34.1393514,1793.95326,6126.1332,75.755196,17379.1332,3217.00764,47.82525,6.875583,35.78454,34.501698,0.36032106,NA,3133.48,0,1,0,"no",2009,"Boulder South Campus","North America","US","Central plains (North America)","shortgrass prairie","PERENNIAL","GRASS","C3",2,58,448.5731709,10.59856789,978.2125854,0.2813,"0","1","0","1","P",0.00313348,319.133997983073,6.28642390888086,1.969838359,1.16,7.71225173674031,0.146559811360191,"no",5.76561107095913,1.83839237308552,0.677951488114472,0.148420005118273
"28","bldr.us",-105.233544,39.972022,2011,2,16,"PK","Poaceae","POA COMPRESSA",5,0.657595748,46.73007617,-28.00107746,606.253,0.05,1507.74345,14.004981,201.009095,4151.9605,285.75395,3315.4935,1546.06205,47.547775,2.313135,14.6194805,31.472655,0.48809485,0.30444595,3031.265,0,1,1,"no",2009,"Boulder South Campus","North America","US","Central plains (North America)","shortgrass prairie","PERENNIAL","GRASS","C3",NA,228.5,448.5731709,10.59856789,978.2125854,0.2813,"0","1","1","2","PK",0.003031265,329.895274745032,2.16937729957625,0.657595748,NA,20.5772629950389,0.715808097125614,"no",5.79877525483712,0.774440167651214,-0.419164901197811,NA
"48","bnch.us",-121.9680169,44.27668543,2011,1,4,"N","Asteraceae","ACHILLEA MILLEFOLIUM",5,4.151183334,48.44281232,-30.73468461,4083.878,0.454,1520.34,32.79,83.6,8257.13,104.66,39737.42,2200.52,111.68,8.8,51.71,82.47,0.13,NA,20419.39,1,0,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","PERENNIAL","NULL","C3",25,98.85,864.192683,8.379287582,952.0361898,1.3455,"1","0","0","1","N",0.02041939,48.9730594302768,2.03296148121957,4.151183334,24.7125,23.4555846051835,0.843167460406349,"no",3.89127033936566,0.709493587698181,1.42339343432061,3.20730918849674
"49","bnch.us",-121.9680169,44.27668543,2011,1,6,"NP","Asteraceae","ACHILLEA MILLEFOLIUM",5,3.619126063,45.85905643,-31.03382527,480.842,0.501,3957.78,31.62,50.59,10575.9,188.62,36852.09,3390.83,85.04,7.29,44.7,66.94,0.08,NA,2404.21,1,1,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","PERENNIAL","NULL","C3",20,188.149995,864.192683,8.379287582,952.0361898,1.3455,"1","1","0","1","NP",0.00240421,415.937043769055,15.0532859567176,3.619126063,37.629999,23.771547315796,0.857148111318405,"no",6.03053391171503,2.71159630335757,1.28623257763063,3.6278015780308
