,site_code,year,precip,PET,SPEI_12,SPEI_6,SPEI_24,SPEI_12.class,SPEI_6.class,SPEI_24.class,precip.mean,PET.mean
1,amcamp.us,1903,2585.5,665.3000059,1.126705526,0.773216476,1.338601026,1,1,2,2215.717073,699.3634255
2,amcamp.us,1904,2837.4,620.5000149,1.826221144,1.622806131,1.963487437,2,2,2,2215.717073,699.3634255
3,amcamp.us,1905,2302.1,692.7000071,0.239931126,0.236448394,1.456400328,0,0,2,2215.717073,699.3634255
4,amcamp.us,1906,2110.2,664.9000148,-0.260990341,-0.721562472,-0.040911101,0,-1,0,2215.717073,699.3634255
5,amcamp.us,1907,2683.9,687.400006,1.320709247,-0.030119452,0.742553066,2,0,1,2215.717073,699.3634255
6,amcamp.us,1908,2545.9,684.3000101,0.970767943,1.638294878,1.511091238,1,2,2,2215.717073,699.3634255
7,amcamp.us,1909,2166.8,661.9000116,-0.079306748,-0.014061041,0.592770554,0,0,0,2215.717073,699.3634255
8,amcamp.us,1910,2693.8,662.9000078,1.404853692,1.074757468,0.925579922,2,1,1,2215.717073,699.3634255
9,amcamp.us,1911,2534.7,635.4000066,1.071777426,-0.351447236,1.632630655,1,0,2,2215.717073,699.3634255
10,amcamp.us,1912,2164.5,681.6000076,-0.14653878,-0.198436949,0.624200039,0,0,0,2215.717073,699.3634255
11,amcamp.us,1913,2384.8,646.8000133,0.623130834,-0.241835116,0.297772061,0,0,0,2215.717073,699.3634255
12,amcamp.us,1914,2373.3,693.3000087,0.452427493,0.520992823,0.695484304,0,0,1,2215.717073,699.3634255
13,amcamp.us,1915,1920,693.000007,-0.897445816,-1.436355675,-0.335809349,-1,-2,0,2215.717073,699.3634255
14,amcamp.us,1916,2819.5,638.5000173,1.749067813,1.821890478,0.675628828,2,2,1,2215.717073,699.3634255
15,amcamp.us,1917,2027.8,589.5000086,-0.282208743,0.553523235,1.083817897,0,0,1,2215.717073,699.3634255
16,amcamp.us,1918,2024.1,683.7000122,-0.574380874,-0.424049871,-0.582197405,0,0,0,2215.717073,699.3634255
17,amcamp.us,1919,2534.9,668.4000121,0.984035573,1.024956334,0.26919951,1,1,0,2215.717073,699.3634255
18,amcamp.us,1920,1842.1,635.6000187,-0.953678243,-0.562193067,-0.003811065,-1,0,0,2215.717073,699.3634255
19,amcamp.us,1921,2620.3,668.8000029,1.207528395,0.744847804,0.169342431,1,1,0,2215.717073,699.3634255
20,amcamp.us,1922,2140.2,620.100015,-0.032794842,-1.746655911,0.801093375,0,-2,1,2215.717073,699.3634255
21,amcamp.us,1923,2133.2,668.4000157,-0.201723091,-0.059134931,-0.181444446,0,0,0,2215.717073,699.3634255
22,amcamp.us,1924,1826.8,730.2000138,-1.242758533,-1.370136281,-0.970975837,-1,-2,-1,2215.717073,699.3634255
23,amcamp.us,1925,2178.2,689.9000107,-0.130049675,-0.707811349,-0.93082944,0,-1,-1,2215.717073,699.3634255
